state,Question,Data_Value
Idaho,Percent of adults aged 18 years and older who have obesity,32.9
Indiana,Percent of adults aged 18 years and older who have obesity,34.2
South Dakota,Percent of adults aged 18 years and older who have obesity,32.0
Nevada,Percent of adults aged 18 years and older who have obesity,41.3
South Carolina,Percent of adults aged 18 years and older who have obesity,36.8
South Carolina,Percent of adults aged 18 years and older who have obesity,35.0
Wisconsin,Percent of adults aged 18 years and older who have obesity,31.4
New Mexico,Percent of adults aged 18 years and older who have obesity,30.8
New Mexico,Percent of adults aged 18 years and older who have obesity,39.1
Nevada,Percent of adults aged 18 years and older who have obesity,14.8
Oklahoma,Percent of adults aged 18 years and older who have obesity,34.0
Alaska,Percent of adults aged 18 years and older who have obesity,29.5
Oklahoma,Percent of adults aged 18 years and older who have obesity,38.0
North Carolina,Percent of adults aged 18 years and older who have obesity,44.5
Wyoming,Percent of adults aged 18 years and older who have obesity,39.9
Maryland,Percent of adults aged 18 years and older who have obesity,30.0
Ohio,Percent of adults aged 18 years and older who have obesity,36.4
Georgia,Percent of adults aged 18 years and older who have obesity,17.5
New Jersey,Percent of adults aged 18 years and older who have obesity,28.8
Rhode Island,Percent of adults aged 18 years and older who have obesity,26.6
Missouri,Percent of adults aged 18 years and older who have obesity,29.8
Maryland,Percent of adults aged 18 years and older who have obesity,30.8
Idaho,Percent of adults aged 18 years and older who have obesity,23.1
Arizona,Percent of adults aged 18 years and older who have obesity,30.4
Rhode Island,Percent of adults aged 18 years and older who have obesity,34.1
Texas,Percent of adults aged 18 years and older who have obesity,54.1
Illinois,Percent of adults aged 18 years and older who have obesity,36.7
Massachusetts,Percent of adults aged 18 years and older who have obesity,30.3
New York,Percent of adults aged 18 years and older who have obesity,31.0
Georgia,Percent of adults aged 18 years and older who have obesity,12.2
Kentucky,Percent of adults aged 18 years and older who have obesity,33.2
Nevada,Percent of adults aged 18 years and older who have obesity,33.6
New York,Percent of adults aged 18 years and older who have obesity,27.9
North Carolina,Percent of adults aged 18 years and older who have obesity,29.4
New Jersey,Percent of adults aged 18 years and older who have obesity,36.3
Kentucky,Percent of adults aged 18 years and older who have obesity,37.8
Arizona,Percent of adults aged 18 years and older who have obesity,35.1
Rhode Island,Percent of adults aged 18 years and older who have obesity,26.9
Massachusetts,Percent of adults aged 18 years and older who have obesity,27.5
North Dakota,Percent of adults aged 18 years and older who have obesity,29.2
Arizona,Percent of adults aged 18 years and older who have obesity,31.7
Massachusetts,Percent of adults aged 18 years and older who have obesity,29.4
New York,Percent of adults aged 18 years and older who have obesity,31.4
North Dakota,Percent of adults aged 18 years and older who have obesity,38.1
Washington,Percent of adults aged 18 years and older who have obesity,31.4
Maryland,Percent of adults aged 18 years and older who have obesity,30.9
Guam,Percent of adults aged 18 years and older who have obesity,21.8
Vermont,Percent of adults aged 18 years and older who have obesity,28.0
Ohio,Percent of adults aged 18 years and older who have obesity,36.5
Nebraska,Percent of adults aged 18 years and older who have obesity,43.2
Utah,Percent of adults aged 18 years and older who have obesity,24.1
New Hampshire,Percent of adults aged 18 years and older who have obesity,27.1
Mississippi,Percent of adults aged 18 years and older who have obesity,46.3
Puerto Rico,Percent of adults aged 18 years and older who have obesity,18.8
Montana,Percent of adults aged 18 years and older who have obesity,11.6
California,Percent of adults aged 18 years and older who have obesity,20.9
Kansas,Percent of adults aged 18 years and older who have obesity,41.7
Hawaii,Percent of adults aged 18 years and older who have obesity,21.8
Indiana,Percent of adults aged 18 years and older who have obesity,33.3
Connecticut,Percent of adults aged 18 years and older who have obesity,24.2
Georgia,Percent of adults aged 18 years and older who have obesity,36.9
National,Percent of adults aged 18 years and older who have obesity,32.7
Washington,Percent of adults aged 18 years and older who have obesity,26.7
Alaska,Percent of adults aged 18 years and older who have obesity,26.9
Illinois,Percent of adults aged 18 years and older who have obesity,35.7
New Mexico,Percent of adults aged 18 years and older who have obesity,28.9
Virginia,Percent of adults aged 18 years and older who have obesity,30.4
Alabama,Percent of adults aged 18 years and older who have obesity,36.6
Vermont,Percent of adults aged 18 years and older who have obesity,19.3
Indiana,Percent of adults aged 18 years and older who have obesity,33.3
South Dakota,Percent of adults aged 18 years and older who have obesity,28.3
Hawaii,Percent of adults aged 18 years and older who have obesity,26.8
West Virginia,Percent of adults aged 18 years and older who have obesity,40.8
Guam,Percent of adults aged 18 years and older who have obesity,22.7
Georgia,Percent of adults aged 18 years and older who have obesity,32.7
Oregon,Percent of adults aged 18 years and older who have obesity,30.8
Nebraska,Percent of adults aged 18 years and older who have obesity,34.5
California,Percent of adults aged 18 years and older who have obesity,27.6
Iowa,Percent of adults aged 18 years and older who have obesity,45.7
Missouri,Percent of adults aged 18 years and older who have obesity,36.4
West Virginia,Percent of adults aged 18 years and older who have obesity,41.8
Idaho,Percent of adults aged 18 years and older who have obesity,31.8
Oklahoma,Percent of adults aged 18 years and older who have obesity,38.3
Alabama,Percent of adults aged 18 years and older who have obesity,37.7
Idaho,Percent of adults aged 18 years and older who have obesity,29.7
National,Percent of adults aged 18 years and older who have obesity,39.1
Minnesota,Percent of adults aged 18 years and older who have obesity,30.0
West Virginia,Percent of adults aged 18 years and older who have obesity,37.8
District of Columbia,Percent of adults aged 18 years and older who have obesity,25.2
Florida,Percent of adults aged 18 years and older who have obesity,28.0
Maryland,Percent of adults aged 18 years and older who have obesity,31.7
Alaska,Percent of adults aged 18 years and older who have obesity,30.7
Oklahoma,Percent of adults aged 18 years and older who have obesity,43.4
New Mexico,Percent of adults aged 18 years and older who have obesity,31.2
North Carolina,Percent of adults aged 18 years and older who have obesity,35.1
Maryland,Percent of adults aged 18 years and older who have obesity,35.6
Florida,Percent of adults aged 18 years and older who have obesity,27.5
North Dakota,Percent of adults aged 18 years and older who have obesity,38.2
National,Percent of adults aged 18 years and older who have obesity,29.9
Oregon,Percent of adults aged 18 years and older who have obesity,14.9
South Dakota,Percent of adults aged 18 years and older who have obesity,35.8
Arizona,Percent of adults aged 18 years and older who have obesity,29.6
Idaho,Percent of adults aged 18 years and older who have obesity,26.5
District of Columbia,Percent of adults aged 18 years and older who have obesity,15.6
Louisiana,Percent of adults aged 18 years and older who have obesity,37.3
Texas,Percent of adults aged 18 years and older who have obesity,38.1
Missouri,Percent of adults aged 18 years and older who have obesity,35.7
Wisconsin,Percent of adults aged 18 years and older who have obesity,35.2
Massachusetts,Percent of adults aged 18 years and older who have obesity,30.2
Ohio,Percent of adults aged 18 years and older who have obesity,38.8
Colorado,Percent of adults aged 18 years and older who have obesity,28.4
Montana,Percent of adults aged 18 years and older who have obesity,25.9
Hawaii,Percent of adults aged 18 years and older who have obesity,29.4
Alabama,Percent of adults aged 18 years and older who have obesity,38.6
Utah,Percent of adults aged 18 years and older who have obesity,26.8
Illinois,Percent of adults aged 18 years and older who have obesity,28.9
Tennessee,Percent of adults aged 18 years and older who have obesity,38.4
Kansas,Percent of adults aged 18 years and older who have obesity,38.1
